Date; Target(°C); Sensor(°C)
Jul 11 2025 12:06:15 PM; 24,949; 28,026
Jul 11 2025 12:06:16 PM; 24,997; 28,027
Jul 11 2025 12:06:17 PM; 25,054; 28,028
Jul 11 2025 12:06:18 PM; 25,055; 28,029
Jul 11 2025 12:06:19 PM; 25,093; 28,03
Jul 11 2025 12:06:20 PM; 25,051; 28,032
Jul 11 2025 12:06:21 PM; 26,186; 28,033
Jul 11 2025 12:06:22 PM; 25,403; 28,034
Jul 11 2025 12:06:23 PM; 25,142; 28,035
Jul 11 2025 12:06:24 PM; 25,178; 28,036
Jul 11 2025 12:06:25 PM; 25,157; 28,038
Jul 11 2025 12:06:26 PM; 25,121; 28,039
Jul 11 2025 12:06:27 PM; 25,128; 28,04
Jul 11 2025 12:06:28 PM; 25,112; 28,042
Jul 11 2025 12:06:29 PM; 25,056; 28,043
Jul 11 2025 12:06:30 PM; 25,052; 28,045
Jul 11 2025 12:06:31 PM; 25,066; 28,046
Jul 11 2025 12:06:32 PM; 25,029; 28,047
Jul 11 2025 12:06:33 PM; 25,005; 28,048
Jul 11 2025 12:06:34 PM; 25,122; 28,049
Jul 11 2025 12:06:35 PM; 25,192; 28,051
Jul 11 2025 12:06:36 PM; 25,131; 28,052
Jul 11 2025 12:06:37 PM; 24,972; 28,053
Jul 11 2025 12:06:38 PM; 24,876; 28,054
Jul 11 2025 12:06:39 PM; 24,84; 28,054
Jul 11 2025 12:06:40 PM; 24,815; 28,055
Jul 11 2025 12:06:41 PM; 24,95; 28,056
Jul 11 2025 12:06:42 PM; 25,008; 28,057
Jul 11 2025 12:06:43 PM; 24,974; 28,057
Jul 11 2025 12:06:44 PM; 25,028; 28,058
Jul 11 2025 12:06:45 PM; 24,932; 28,059
Jul 11 2025 12:06:46 PM; 25,017; 28,06
Jul 11 2025 12:06:47 PM; 24,992; 28,06
Jul 11 2025 12:06:48 PM; 25,186; 28,061
Jul 11 2025 12:06:49 PM; 25,144; 28,061
Jul 11 2025 12:06:50 PM; 25,026; 28,062
Jul 11 2025 12:06:51 PM; 25,132; 28,063
Jul 11 2025 12:06:52 PM; 25,158; 28,064
Jul 11 2025 12:06:53 PM; 25,508; 28,064
Jul 11 2025 12:06:54 PM; 26,785; 28,065
Jul 11 2025 12:06:55 PM; 25,176; 28,066
Jul 11 2025 12:06:56 PM; 24,918; 28,067
Jul 11 2025 12:06:57 PM; 25,059; 28,068
Jul 11 2025 12:06:58 PM; 24,935; 28,069
Jul 11 2025 12:06:59 PM; 25,158; 28,07
Jul 11 2025 12:07:00 PM; 24,978; 28,071
Jul 11 2025 12:07:01 PM; 24,798; 28,072
Jul 11 2025 12:07:02 PM; 24,88; 28,072
Jul 11 2025 12:07:03 PM; 24,984; 28,074
Jul 11 2025 12:07:04 PM; 25,35; 28,074
Jul 11 2025 12:07:05 PM; 25,388; 28,076
Jul 11 2025 12:07:06 PM; 24,843; 28,076
Jul 11 2025 12:07:07 PM; 24,766; 28,077
Jul 11 2025 12:07:08 PM; 24,844; 28,078
Jul 11 2025 12:07:09 PM; 24,839; 28,079
Jul 11 2025 12:07:10 PM; 24,8; 28,08
Jul 11 2025 12:07:11 PM; 24,81; 28,081
Jul 11 2025 12:07:12 PM; 25,005; 28,082
Jul 11 2025 12:07:13 PM; 24,806; 28,083
Jul 11 2025 12:07:14 PM; 24,895; 28,084
Jul 11 2025 12:07:15 PM; 24,833; 28,085
Jul 11 2025 12:07:16 PM; 24,832; 28,087
Jul 11 2025 12:07:17 PM; 24,83; 28,088
Jul 11 2025 12:07:18 PM; 24,827; 28,089
Jul 11 2025 12:07:19 PM; 24,766; 28,09
Jul 11 2025 12:07:20 PM; 24,707; 28,091
Jul 11 2025 12:07:21 PM; 24,765; 28,092
Jul 11 2025 12:07:22 PM; 24,754; 28,094
Jul 11 2025 12:07:23 PM; 24,711; 28,094
Jul 11 2025 12:07:24 PM; 24,655; 28,095
Jul 11 2025 12:07:25 PM; 24,587; 28,096
Jul 11 2025 12:07:26 PM; 24,365; 28,097
Jul 11 2025 12:07:27 PM; 24,714; 28,098
Jul 11 2025 12:07:28 PM; 24,987; 28,098
Jul 11 2025 12:07:29 PM; 24,735; 28,1
Jul 11 2025 12:07:30 PM; 24,742; 28,1
Jul 11 2025 12:07:31 PM; 24,78; 28,101
Jul 11 2025 12:07:32 PM; 24,617; 28,101
Jul 11 2025 12:07:33 PM; 24,608; 28,102
Jul 11 2025 12:07:34 PM; 24,556; 28,103
Jul 11 2025 12:07:35 PM; 24,566; 28,103
Jul 11 2025 12:07:36 PM; 24,463; 28,104
Jul 11 2025 12:07:37 PM; 24,582; 28,104
Jul 11 2025 12:07:38 PM; 24,461; 28,105
Jul 11 2025 12:07:39 PM; 24,508; 28,106
Jul 11 2025 12:07:40 PM; 24,635; 28,106
Jul 11 2025 12:07:41 PM; 24,946; 28,107
Jul 11 2025 12:07:42 PM; 24,778; 28,108
Jul 11 2025 12:07:43 PM; 24,53; 28,108
Jul 11 2025 12:07:44 PM; 24,424; 28,109
Jul 11 2025 12:07:45 PM; 24,43; 28,109
Jul 11 2025 12:07:46 PM; 24,481; 28,11
Jul 11 2025 12:07:47 PM; 24,542; 28,11
Jul 11 2025 12:07:48 PM; 24,661; 28,111
Jul 11 2025 12:07:49 PM; 24,486; 28,112
Jul 11 2025 12:07:50 PM; 24,446; 28,112
Jul 11 2025 12:07:51 PM; 24,512; 28,112
Jul 11 2025 12:07:52 PM; 24,437; 28,112
Jul 11 2025 12:07:53 PM; 24,346; 28,113
Jul 11 2025 12:07:54 PM; 24,431; 28,113
Jul 11 2025 12:07:55 PM; 24,517; 28,114
Jul 11 2025 12:07:56 PM; 24,504; 28,114
Jul 11 2025 12:07:57 PM; 24,354; 28,115
Jul 11 2025 12:07:58 PM; 24,471; 28,115
Jul 11 2025 12:07:59 PM; 24,49; 28,115
Jul 11 2025 12:08:00 PM; 24,481; 28,116
Jul 11 2025 12:08:01 PM; 24,494; 28,116
Jul 11 2025 12:08:02 PM; 24,614; 28,117
Jul 11 2025 12:08:03 PM; 24,351; 28,118
Jul 11 2025 12:08:04 PM; 24,37; 28,118
